"row ID","age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","subscribed"
"Row0",56,"housemaid","married","basic.4y","no","no","no","telephone","may","mon",261,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
"Row1",56,"services","married","high.school","no","no","yes","telephone","may","mon",307,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
"Row2",45,"services","married","basic.9y","unknown","no","no","telephone","may","mon",198,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
"Row3",59,"admin.","married","professional.course","no","no","no","telephone","may","mon",139,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
"Row4",41,"blue-collar","married","unknown","unknown","no","no","telephone","may","mon",217,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
"Row5",24,"technician","single","professional.course","no","yes","no","telephone","may","mon",380,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
"Row6",25,"services","single","high.school","no","yes","no","telephone","may","mon",50,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
"Row7",25,"services","single","high.school","no","yes","no","telephone","may","mon",222,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
"Row8",29,"blue-collar","single","high.school","no","no","yes","telephone","may","mon",137,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
"Row9",57,"housemaid","divorced","basic.4y","no","yes","no","telephone","may","mon",293,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
"Row10",54,"retired","married","basic.9y","unknown","yes","yes","telephone","may","mon",174,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
"Row11",35,"blue-collar","married","basic.6y","no","yes","no","telephone","may","mon",312,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
"Row12",46,"blue-collar","married","basic.6y","unknown","yes","yes","telephone","may","mon",440,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
"Row13",55,"blue-collar","married","basic.4y","unknown","yes","no","telephone","may","mon",262,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
"Row14",55,"retired","single","high.school","no","yes","no","telephone","may","mon",342,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
"Row15",37,"admin.","married","high.school","no","yes","no","telephone","may","mon",172,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
